dossier_id,mibig_accession,organism_name,primary_product_raw,mibig_bgc_class_raw,primary_reference_year,primary_reference_doi,genes,metabolites,experiments,claims,conflicts
M4-FUNG-0020,BGC0000057,Aspergillus nidulans,orsellinic acid; F9775A; F9775B,PKS (Iterative type I),2010.0,10.1039/b904541d,15,7,10,9,7
M4-FUNG-0021,BGC0000062,Fusarium verticillioides,fumonisin B1; fumonisin B2; fumonisin B3,PKS (Unknown),1999.0,10.1006/fgbi.1999.1141,16,7,10,11,8
M4-FUNG-0022,BGC0000063,Fusarium oxysporum,hydroxy-fumonisin C1; fumonisin C1; fumonisin C2; fumonisin C3; fumonisin B1,PKS (Unknown),2008.0,10.1016/j.fgb.2008.02.004,17,5,6,7,6
M4-FUNG-0023,BGC0000064,Fusarium verticillioides,fusarin C; dihydrofusarin C; fusarin D; epi-fusarin C,NRPS (Type I); PKS (Type I),2004.0,10.1002/cbic.200400138,11,8,9,10,7
M4-FUNG-0024,BGC0000070,Penicillium aethiopicum,griseofulvin; epidechlorogriseofulvin/dechlorogriseofulvin,PKS (Iterative type I),2010.0,10.1016/j.chembiol.2010.03.015,21,7,9,8,6
M4-FUNG-0025,BGC0000076,Hypomyces subiculosus,hypothemycin,PKS (Unknown),2008.0,10.1128/AEM.00478-08,9,6,8,9,7
M4-FUNG-0026,BGC0000077,Hypomyces subiculosus,hypothemycin,PKS (Unknown),2008.0,10.1128/AEM.00478-08,10,6,8,9,7
M4-FUNG-0027,BGC0000088,Aspergillus terreus,lovastatin,PKS (Unknown),1999.0,10.1126/science.284.5418.1368,19,7,8,9,7
M4-FUNG-0028,BGC0000089,Aspergillus terreus,lovastatin,PKS (Unknown),,NR,0,1,2,3,3
M4-FUNG-0029,BGC0000098,Monascus pilosus,monacolin K (chemically identical to lovastatin),PKS (Unknown),2008.0,10.1021/jf800595k,9,3,8,11,9
M4-FUNG-0030,BGC0000099,Talaromyces marneffei,monascorubrin,PKS (Unknown),2014.0,10.1038/srep06728,5,8,5,9,8
M4-FUNG-0031,BGC0000101,Aspergillus nidulans,emodin; monodictyphenone; shamixanthone,PKS (Iterative type I),2010.0,10.1128/AEM.02187-09,16,8,7,10,7
M4-FUNG-0032,BGC0000104,Penicillium brevicompactum,mycophenolic acid (MPA),PKS (Type I),2011.0,10.1128/AEM.03015-10,9,9,8,9,7
M4-FUNG-0033,BGC0000107,Aspergillus nidulans,YWA1 naphthopyrone (yellow conidial-pigment intermediate),PKS (Type I),1992.0,10.1007/BF00279362,5,4,7,8,8
M4-FUNG-0034,BGC0000120,Penicillium expansum,patulin,PKS (Iterative type I),2014.0,10.1016/j.ijfoodmicro.2014.07.028,15,10,7,5,5
M4-FUNG-0035,BGC0000121,Pestalotiopsis fici,pestheic acid = RES-1214-2 = dihydromaldoxin,PKS (Type I),2014.0,10.1002/cbic.201300626,16,7,7,9,8
M4-FUNG-0036,BGC0000129,Aspergillus fumigatus,pyripyropene A,PKS (Unknown),2010.0,10.1038/nchem.764,9,5,6,4,4
M4-FUNG-0037,BGC0000134,Pochonia chlamydosporia,radicicol (monorden),PKS (Unknown),2008.0,10.1128/AEM.00478-08,5,5,6,5,4
M4-FUNG-0038,BGC0000146,Alternaria solani,"solanapyrone D (MIBiG label); pathway also produces solanapyrones A, B, C and E",PKS (Unknown),2010.0,10.1002/cbic.201000173,6,10,8,9,8
M4-FUNG-0039,BGC0000152,Aspergillus nidulans,sterigmatocystin,PKS (Unknown),1996.0,10.1073/pnas.93.4.1418,25,6,9,6,5
M4-FUNG-0040,BGC0000154,Talaromyces stipitatus,stipitatic acid,PKS (Iterative type I),2012.0,10.1073/pnas.1201469109,13,12,9,9,8
M4-FUNG-0041,BGC0000155,Bipolaris maydis,T-toxin family; major C41 component,PKS,1996.0,10.1105/tpc.8.11.2139,10,2,7,5,4
M4-FUNG-0042,BGC0000156,Aspergillus niger,TAN-1612,PKS (Iterative type I),2011.0,10.1021/ja206906d,6,5,7,8,8
M4-FUNG-0043,BGC0000160,Aspergillus terreus,terreic acid,PKS (Unknown),2014.0,10.1021/ol502242a,9,6,6,5,5
M4-FUNG-0044,BGC0000161,Aspergillus terreus,terrein in the experimental literature; MIBiG currently labels isoterrein,PKS (Iterative type I),2014.0,10.1016/j.chembiol.2014.03.010,11,8,11,10,8
M4-FUNG-0045,BGC0000168,Penicillium aethiopicum,viridicatumtoxin,PKS (Iterative type I),2010.0,10.1016/j.chembiol.2010.03.015,14,3,4,3,3
M4-FUNG-0046,BGC0000170,Aspergillus niger ATCC 1015,yanuthone D,PKS (Unknown),2014.0,10.1016/j.chembiol.2014.01.013,10,5,4,3,3
M4-FUNG-0047,BGC0000292,Aspergillus terreus NIH2624,acetylaranotin,NRPS (Type I),2013.0,10.1021/ja3123653,10,3,3,3,3
M4-FUNG-0048,BGC0000293,Aspergillus fischeri NRRL 181,acetylaszonalenin,NRPS (Type I),2009.0,10.1074/jbc.M807303200,3,3,3,3,3
M4-FUNG-0049,BGC0000304,Fusarium incarnatum,apicidin,NRPS (Type I),2010.0,10.1111/j.1365-2958.2010.07109.x,11,4,5,3,4
M4-FUNG-0050,BGC0000307,Aureobasidium pullulans,AbT1 / aureobasidin A,NRPS (Type I),2009.0,10.1016/j.gene.2008.11.011,1,2,2,3,3
M4-FUNG-0051,BGC0000312,Beauveria bassiana,bassianolide,NRPS (Type I),2009.0,10.1016/j.fgb.2009.03.001,1,1,2,3,3
M4-FUNG-0052,BGC0000313,Beauveria bassiana,beauvericin,NRPS (Type I),2008.0,10.1016/j.chembiol.2008.07.011,5,2,4,3,3
M4-FUNG-0053,BGC0000317,Hapsidospora chrysogena ATCC 11550,cephalosporin C at whole-programme level; early-locus terminal intermediate is penicillin N,NRPS (Type I),1991.0,10.1128/jb.173.7.2354-2365.1991,8,4,5,3,4
M4-FUNG-0054,BGC0000318,Hapsidospora chrysogena ATCC 11550,cephalosporin C,NRPS (Type I),1992.0,10.1016/s0006-291x(05)80772-7,2,4,4,3,4
M4-FUNG-0055,BGC0000321,Achaetomiella virescens,chaetocin,NRPS (Type I),2013.0,10.1002/cbic.201300513,15,1,2,2,2
M4-FUNG-0056,BGC0000334,Tolypocladium inflatum NRRL 8044,cyclosporin A,NRPS (Type I),2013.0,10.1371/journal.pgen.1003496,20,3,6,3,2
M4-FUNG-0057,BGC0000337,Metarhizium robertsii ARSEF 23,destruxin A,NRPS (Type I),2012.0,10.1073/pnas.1115983109,21,3,6,3,1
M4-FUNG-0058,BGC0000338,Aspergillus pachycristatus NRRL 11440,echinocandin B,NRPS (Type I),2012.0,10.1021/ja307220z,12,3,4,3,3
M4-FUNG-0059,BGC0000342,Fusarium equiseti,enniatin,NRPS (Type I),1993.0,10.1111/j.1365-2958.1993.tb01181.x,1,3,3,3,1
M4-FUNG-0060,BGC0000348,Epichloe festucae var. lolii,ergovaline,NRPS (Type I),2007.0,10.1128/AEM.00257-07,6,4,3,4,2
M4-FUNG-0061,BGC0000355,Aspergillus fumigatus Af293,fumiquinazoline C,NRPS (Type I),2010.0,10.1021/bi100198y,5,4,6,3,2
M4-FUNG-0062,BGC0000357,Penicillium rubens Wisconsin 54-1255,cyclo-(D-Phe-L-Phe-D-Val-L-Val) / fungisporin-family product,NRPS (Type I),2014.0,10.1371/journal.pone.0098212,1,10,3,2,1
M4-FUNG-0063,BGC0000361,Aspergillus fumigatus Af293,gliotoxin,NRPS (Type I),2005.0,10.1016/j.femsle.2005.05.046,12,3,6,4,2
M4-FUNG-0064,BGC0000370,Bipolaris zeicola,HC-toxin,NRPS (Type I),2002.0,10.1006/fgbi.2001.1305,7,2,6,4,3
M4-FUNG-0065,BGC0000372,Aspergillus fumigatus Af293,hexadehydroastechrome,NRPS (Type I),2013.0,10.1021/ja311145n,8,3,4,3,2
M4-FUNG-0066,BGC0000404,Penicillium chrysogenum,penicillin,NRPS (Type I),2006.0,10.1016/j.fgb.2006.03.001,6,2,4,3,2
M4-FUNG-0067,BGC0000405,Penicillium chrysogenum,benzylpenicillin / penicillin G under phenylacetate feeding,NRPS (Type I),2007.0,10.1016/j.fgb.2007.03.008,3,4,4,3,1
M4-FUNG-0068,BGC0000420,Penicillium rubens Wisconsin 54-1255,meleagrine,NRPS (Type I),2013.0,10.1371/journal.pone.0065328,7,7,4,3,2
M4-FUNG-0069,BGC0000442,Aspergillus nidulans FGSC A4,terrequinone A,NRPS (Type I),2007.0,10.1038/nchembio.2007.20,5,4,3,3,2
M4-FUNG-0070,BGC0000456,Lecanicillium sp. HF627,verlamelin,NRPS (Type I),2014.0,10.1007/s00253-014-5803-7,4,3,3,3,2
M4-FUNG-0071,BGC0000627,Aspergillus flavus NRRL3357,ustiloxin B,ribosomal (RiPP),2014.0,10.1016/j.fgb.2014.04.011,19,2,5,3,3
M4-FUNG-0072,BGC0000629,Aspergillus flavus,aflatrem,terpene (Unknown),2004.0,10.1128/AEM.70.11.6875-6883.2004,8,4,4,3,2
M4-FUNG-0073,BGC0000631,Botrytis cinerea B05.10,botrydial,terpene (Sesquiterpene),2008.0,10.1021/cb800225v,7,5,4,4,3
M4-FUNG-0074,BGC0000667,Penicillium roqueforti FM164,PR-toxin,terpene (Unknown),2014.0,10.1016/j.fgb.2013.10.009,11,7,4,4,4
M4-FUNG-0075,BGC0000673,Aspergillus nidulans FGSC A4,dipleosmarane and associated isopimarane diterpenoids under modern high-sensitivity cluster activation,terpene (Unknown),2012.0,10.1371/journal.pone.0035450,8,3,4,4,3
M4-FUNG-0076,BGC0000676,Neocamarosporium betae (historically Phoma betae),aphidicolin,terpene (Diterpene),2004.0,10.1271/bbb.68.146,6,4,5,4,3
M4-FUNG-0077,BGC0000680,Aspergillus nidulans FGSC A4,austinol; dehydroaustinol,,2012.0,10.1021/ja209809t,2,3,1,2,1
M4-FUNG-0078,BGC0000682,Aspergillus terreus NIH2624,terretonin,,,10.1021/ol302682z,4,0,0,0,1
M4-FUNG-0079,BGC0000684,Aspergillus nidulans FGSC A4,asperthecin,,,10.1128/AEM.01743-08,0,0,0,0,1
M4-FUNG-0080,BGC0000685,Alternaria brassicicola ATCC 96836,brassicicene C,,,10.1016/j.bmcl.2008.12.052,0,0,0,0,0
M4-FUNG-0081,BGC0000686,Aspergillus fumigatus Af293,helvolic acid,,,10.1021/ja8095976,0,0,0,0,0
M4-FUNG-0082,BGC0000687,Diaporthe amygdali (historical paper: Phomopsis amygdali),phyllocladan-16α-ol,,,10.1271/bbb.70790,0,0,0,0,0
M4-FUNG-0083,BGC0000688,Diaporthe amygdali (historical paper: Phomopsis amygdali),(+)-copalyl diphosphate,,,10.1271/bbb.70790,0,0,0,0,1
M4-FUNG-0084,BGC0000811,Aspergillus fumigatus Af293,fumigaclavine C,,,,0,0,0,0,1
M4-FUNG-0085,BGC0000812,Shiraia sp. Slf14,huperzine A,,,,0,0,0,0,0
M4-FUNG-0086,BGC0000815,Epichloë uncinata (historical literature: Neotyphodium uncinatum),loline; N-acetylnorloline; N-formylloline,,,,0,0,0,0,0
M4-FUNG-0087,BGC0000816,Malbranchea aurantiaca,malbrancheamide A,,,,0,0,0,0,0
M4-FUNG-0088,BGC0000818,Aspergillus versicolor,notoamide A,,,,0,0,0,0,0
M4-FUNG-0089,BGC0000819,Penicillium fellutanum,paraherquamide,,,,0,0,0,0,0
M4-FUNG-0090,BGC0000894,Monascus aurantiacus,citrinin,,,,0,0,0,0,0
M4-FUNG-0091,BGC0000900,Aspergillus oryzae,ferrichrome,,,,0,0,0,0,0
M4-FUNG-0092,BGC0000901,Aspergillus niger,ferrichrome,,,,0,0,0,0,0
M4-FUNG-0093,BGC0000930,Fusarium graminearum (historical literature: Gibberella zeae),nivalenol; 4-acetylnivalenol,,,,0,0,0,0,0
M4-FUNG-0094,BGC0000931,Fusarium graminearum,trichothecene (historical generic assignment),,,,0,0,0,0,0
M4-FUNG-0095,BGC0000959,Aspergillus nidulans FGSC A4,aspyridone A; aspyridone B,,,,0,0,0,0,0
M4-FUNG-0096,BGC0000968,Penicillium expansum,chaetoglobosin A; chaetoglobosin C,,,,0,0,0,0,0
M4-FUNG-0097,BGC0000977,Aspergillus oryzae,cyclopiazonic acid; 2-oxocyclopiazonic acid,,,,0,0,0,0,0
M4-FUNG-0098,BGC0000983,Aspergillus clavatus NRRL 1,cytochalasin E; cytochalasin K,,,,0,0,0,0,0
M4-FUNG-0099,BGC0000992,Fusarium heterosporum,fusaridione A,,,,0,0,0,0,0
M4-FUNG-0100,BGC0001026,Metarhizium robertsii; source atlas historical label M. anisopliae,NG-391,,,,0,0,0,0,0
M4-FUNG-0101,BGC0001030,Penicillium nordicum,ochratoxin A,,,,0,0,0,0,0
M4-FUNG-0102,BGC0001035,Glarea lozoyensis ATCC 20868,pneumocandin B0; pneumocandin A0,,,,0,0,0,0,0
M4-FUNG-0103,BGC0001037,Aspergillus fumigatus Af293,pseurotin; azaspirene,,,,0,0,0,0,0
M4-FUNG-0104,BGC0001044,Leptosphaeria maculans,sirodesmin PL,,,,0,0,0,0,0
M4-FUNG-0105,BGC0001049,Beauveria bassiana,tenellin,,,,0,0,0,0,0
M4-FUNG-0106,BGC0001057,Fusarium graminearum (teleomorph historical literature: Gibberella zeae),zearalenone,,,,0,0,0,0,0
M4-FUNG-0107,BGC0001067,Aspergillus fumigatus Af293,fumagillin,,,,0,0,0,0,0
M4-FUNG-0108,BGC0001081,Epichloë festucae var. lolii; historical literature uses Neotyphodium lolii,lolitrem F (historical record context),,,,0,0,0,0,0
M4-FUNG-0109,BGC0001082,Penicillium paxilli,"paxilline; 21,22-diprenylated paxilline",,,,0,0,0,0,0
M4-FUNG-0110,BGC0001084,Aspergillus sp. MF297-2,notoamide A,,,,0,0,0,0,0
M4-FUNG-0111,BGC0001118,Aspergillus fumigatus Af293,endocrocin,,,,0,0,0,0,0
M4-FUNG-0112,BGC0001121,Aspergillus nidulans FGSC A4,orsellinic acid,,,,0,0,0,0,0
M4-FUNG-0113,BGC0001122,Aspergillus terreus NIH2624,dihydroisoflavipucine; isoflavipucine,,,,0,0,0,0,0
M4-FUNG-0114,BGC0001123,Aspergillus oryzae RIB40,aspirochlorine,,,,0,0,0,0,0
M4-FUNG-0115,BGC0001124,Aspergillus niger ATCC 1015,pyranonigrin E,,,,0,0,0,0,0
M4-FUNG-0116,BGC0001136,Beauveria bassiana,desmethylbassianin,,,,0,0,0,0,0
M4-FUNG-0117,BGC0001141,Penicillium brefeldianum,4-epi-15-epi-brefeldin A,,,,0,0,0,0,0
M4-FUNG-0118,BGC0001142,Penicillium aethiopicum,tryptoquialanine,,,,0,0,0,0,0
M4-FUNG-0119,BGC0001143,Aspergillus niger ATCC 1015,,,,,0,0,0,0,0
M4-FUNG-0120,BGC0001144,Trichophyton tonsurans CBS 112818,neosartoricin B,,,,0,0,0,0,0
M4-FUNG-0121,BGC0001158,Botrytis cinerea,bikaverin,,,,0,0,0,0,0
M4-FUNG-0122,BGC0001166,Alternaria jesenskae,HC-toxin,,,,0,0,0,0,0
M4-FUNG-0123,BGC0001187,Glarea lozoyensis,xenolozoyenone,,,,0,0,0,0,0
M4-FUNG-0124,BGC0001190,Fusarium verticillioides 7600,fusaric acid,,,,0,0,0,0,0
M4-FUNG-0125,BGC0001205,Penicillium expansum,,,,,0,0,0,0,0
M4-FUNG-0126,BGC0001218,Cordyceps fumosorosea,fumosorinone,,,,0,0,0,0,0
M4-FUNG-0127,BGC0001219,Chaetomium globosum CBS 148.51,shanorellin,,,,0,0,0,2,1
M4-FUNG-0128,BGC0001220,Aspergillus japonicus,aculeacin A,,,,0,0,0,1,2
M4-FUNG-0129,BGC0001234,Aspergillus flavus NRRL3357,,,,,0,0,0,1,2
M4-FUNG-0130,BGC0001238,Aspergillus nidulans,biotin,,,,0,0,0,0,1
M4-FUNG-0131,BGC0001239,Aspergillus nidulans,biotin,,,,0,0,0,0,1
M4-FUNG-0132,BGC0001240,Metarhizium robertsii,,,,,0,0,0,0,2
M4-FUNG-0133,BGC0001241,Claviceps fusiformis,,,,,0,0,0,0,2
M4-FUNG-0134,BGC0001242,Fusarium fujikuroi,,,,,0,0,0,0,2
M4-FUNG-0135,BGC0001243,Botrytis cinerea,,,,,0,0,0,0,0
M4-FUNG-0136,BGC0001244,Parastagonospora nodorum,,,,,0,0,0,0,2
M4-FUNG-0137,BGC0001245,Lasiodiplodia theobromae,lasiodiplodin,,,,0,0,0,0,0
M4-FUNG-0138,BGC0001246,Sarocladium zeae (historical primary paper: Acremonium zeae),trans-resorcylide,,,,0,0,0,0,0
M4-FUNG-0139,BGC0001247,Cercospora nicotianae,cercosporin,,,,0,0,0,0,0
M4-FUNG-0140,BGC0001248,Hypholoma sublateritium,clavaric acid,,,,0,0,0,0,0
M4-FUNG-0141,BGC0001249,Alternaria alternata,dimethylcoprogen,,,,0,0,0,0,0
M4-FUNG-0142,BGC0001250,Epichloë festucae,epichloënin A,,,,0,0,0,0,0
M4-FUNG-0143,BGC0001251,Epichloë festucae,epichloënin A,,,,0,0,0,0,0
M4-FUNG-0144,BGC0001252,Alternaria alternata rough-lemon pathotype,ACR-toxin (MIBiG compound field currently UNII-YC2Q1O94PT),,,,0,0,0,0,0
M4-FUNG-0145,BGC0001253,Alternaria alternata tangerine pathotype,ACT-toxin I (historical MIBiG label),,,,0,0,0,0,0
M4-FUNG-0146,BGC0001254,Alternaria alternata tangerine pathotype,ACT-toxin II,,,,0,0,0,0,0
M4-FUNG-0147,BGC0001255,Fusarium heterosporum,equisetin,hybrid iterative type-I PKS / NRPS,,,0,0,0,2,1
M4-FUNG-0148,BGC0001256,Tapinella panuoides,atromentin,,,,0,0,0,1,1
M4-FUNG-0149,BGC0001257,Nodulisporium sp. ATCC 74245,"1,3,6,8-tetrahydroxynaphthalene; DHN-melanin precursor",,,,0,0,0,1,1
M4-FUNG-0150,BGC0001258,Glarea lozoyensis,"1,3,6,8-tetrahydroxynaphthalene; DHN-melanin precursor",,,,0,0,0,1,1
M4-FUNG-0151,BGC0001259,Elsinoë fawcettii,elsinochrome A; elsinochrome family phytotoxins,,,,0,0,0,2,1
M4-FUNG-0152,BGC0001260,Tolypocladium album; historical paper name Chaunopycnis alba,terpendole E,,,,0,0,0,2,1
M4-FUNG-0153,BGC0001261,"Alternaria alternata, apple pathotype",AM-toxin,,,,0,0,0,1,1
M4-FUNG-0154,BGC0001262,"Alternaria alternata, Japanese-pear pathotype",AK-toxin I,,,,0,0,0,2,1
M4-FUNG-0155,BGC0001263,Claviceps purpurea,,,,,0,0,0,1,2
M4-FUNG-0156,BGC0001264,Neocamarosporium betae; historical literature/MIBiG source name Phoma betae,betaenone A; betaenone B; betaenone C,highly reducing iterative type-I PKS decalin pathway,,,0,0,0,2,1
M4-FUNG-0157,BGC0001265,Bipolaris oryzae,DHN melanin,iterative fungal PKS-dependent DHN-melanin pathway,,,0,0,0,2,1
M4-FUNG-0158,BGC0001266,Cladonia grayi,grayanic acid,lichen orcinol depside/depsidone PKS pathway,,,0,0,0,2,1
M4-FUNG-0159,BGC0001267,Claviceps fusiformis,elymoclavine; agroclavine,ergot alkaloid / clavine pathway,,,0,0,0,2,1
M4-FUNG-0160,BGC0001268,Fusarium fujikuroi,fusarin C,hybrid PKS/NRPS-derived fusarin mycotoxin pathway,,,0,0,0,2,1
M4-FUNG-0161,BGC0001269,Sphaceloma manihoticola,gibberellins; defining study identifies GA4 as principal endpoint and absence of GA7/GA3/GA1 capacity,diterpene gibberellin pathway,,,0,0,0,2,1
M4-FUNG-0162,BGC0001270,Fusarium fujikuroi,"gibberellins including GA3, GA1, GA7, GA4 and GA9 in the historical record",fungal diterpene gibberellin pathway,,,0,0,0,2,1
M4-FUNG-0163,BGC0001271,Aspergillus nidulans FGSC A4,emericellin,polyketide-derived prenyl xanthone pathway,,,0,0,0,2,1
M4-FUNG-0164,BGC0001272,Elsinoë fawcettii,elsinochrome B; elsinochrome C,perylenequinone polyketide phytotoxin pathway,,,0,0,0,2,1
M4-FUNG-0165,BGC0001273,Aspergillus ochraceus in MIBiG; defining paper reports Aspergillus westerdijkiae,asperlactone; defining paper also tracks isoasperlactone,6-methylsalicylic-acid-derived polyketide pathway,,,0,0,0,2,1
M4-FUNG-0166,BGC0001274,Starmerella bombicola (historical literature: Candida bombicola),non-acetylated open-chain sophorolipid; diacetylated lactonic sophorolipid,glycolipid biosurfactant pathway,,,0,0,0,2,1
M4-FUNG-0167,BGC0001275,Glarea lozoyensis,6-methylsalicylic acid,iterative fungal polyketide synthase,,,0,0,0,2,1
M4-FUNG-0168,BGC0001276,Aspergillus terreus,6-methylsalicylic acid,iterative fungal polyketide synthase,,,0,0,0,2,1
M4-FUNG-0169,BGC0001277,Fusarium graminearum,15-acetyldeoxynivalenol; 3-decalonectrin,,,,0,0,0,2,1
M4-FUNG-0170,BGC0001278,Fusarium sporotrichioides,T-2 toxin,,,,0,0,0,2,1
M4-FUNG-0171,BGC0001279,Paramyrothecium roridum (historical Myrothecium roridum),deoxysambucinol; sambucinol; roridin E,,,,0,0,0,2,1
M4-FUNG-0172,BGC0001280,historical Phoma betae,betaenone C; betaenone A,,,,0,0,0,2,1
M4-FUNG-0173,BGC0001281,Ustilago maydis 521,ustilagic acid,,,,0,0,0,2,1
M4-FUNG-0174,BGC0001282,Epichloë coenophiala,,,,,0,0,0,2,1
M4-FUNG-0175,BGC0001284,Parastagonospora nodorum SN15,alternariol,,,,0,0,0,2,1
M4-FUNG-0176,BGC0001286,Ustilago maydis,itaconic acid,,,,0,0,0,2,1
M4-FUNG-0177,BGC0001290,Aspergillus nidulans FGSC A4,emericellamide A/B,,,,0,0,0,2,1
M4-FUNG-0178,BGC0001304,Aspergillus flavus NRRL3357,aflavarin,,,,0,0,0,2,1
M4-FUNG-0179,BGC0001305,Fusarium fujikuroi IMI 58289,fujikurins A–D,,,,0,0,0,2,1
M4-FUNG-0180,BGC0001306,Aspergillus flavus NRRL3357,asperipin-2a,,,,0,0,0,2,1
M4-FUNG-0181,BGC0001309,Cladonia uncialis mycobiont,usnic acid,,,,0,0,0,2,1
M4-FUNG-0182,BGC0001338,Monascus ruber,citrinin,,,,0,0,0,2,1
M4-FUNG-0183,BGC0001339,Phoma sp. MF5453,squalestatin S1,,,,0,0,0,2,1
M4-FUNG-0184,BGC0001340,"Byssochlamys fulva, historical producer strain IMI 40021","byssochlamic acid, agnestadrides A/B, triketide maleidride monomer",,,,0,0,0,2,1
M4-FUNG-0185,BGC0001358,Purpureocillium lilacinum,leucinostatin A/B,,,,0,0,0,2,1
M4-FUNG-0186,BGC0001360,Penicillium roqueforti FM164,mycophenolic acid,,,,0,0,0,2,1
M4-FUNG-0187,BGC0001365,Claviceps purpurea 20.1,"dithioclapurine, trithioclapurine, tetrathioclapurine",,,,0,0,0,2,1
M4-FUNG-0188,BGC0001371,Aspergillus nidulans NRRL 8112,echinocandin B,,,,0,0,0,1,1
M4-FUNG-0189,BGC0001372,Penicillium thymicola,penigequinolone A,,,,0,0,0,1,1
M4-FUNG-0190,BGC0001373,Sordaria araneosa,sordarin,,,,0,0,0,1,1
M4-FUNG-0191,BGC0001375,Penicillium simplicissimum,"penitrem A, B, C, D, E and F",,,,0,0,0,1,1
M4-FUNG-0192,BGC0001385,Byssochlamys fulva,byssochlamic acid; agnestadrides,,,,0,0,0,1,1
M4-FUNG-0193,BGC0001390,Stachybotrys bisbyi,LL-Z1272β,,,,0,0,0,1,1
M4-FUNG-0194,BGC0001398,Phomopsis leptostromiformis,"phomopsin A, phomopsin B, phomopsin E",,,,0,0,0,2,1
M4-FUNG-0195,BGC0001399,Aspergillus nidulans FGSC A4,fellutamide B,,,,0,0,0,2,1
M4-FUNG-0196,BGC0001400,Aspergillus terreus NIH2624 in the canonical record,citreoviridin,,,,0,0,0,1,1
M4-FUNG-0197,BGC0001401,Armillaria mellea,melleolide F; 6'-chloromelleolide F; 6'-bromomelleolide F,,,,0,0,0,1,1
M4-FUNG-0198,BGC0001403,Aspergillus fumigatus Af293,"seed 3,820,195–3,845,905; trypacidin",,,,0,0,0,1,1
M4-FUNG-0199,BGC0001404,Penicillium rubens Wisconsin 54-1255,"seed 1,187,590–1,216,347; sorbicillin",,,,0,0,0,1,1
