dossier_id,mibig_accession,source_database,mibig_version,organism_key,organism_name,strain_primary_key,strain_primary_raw,ncbi_taxon_id,primary_sequence_accession,reported_start_bp,reported_end_bp,reported_length_bp,reported_bgc_boundary,mibig_bgc_class_raw,refined_bgc_class_raw,product_family_raw,primary_product_raw,chemical_class_raw,biological_role_raw,primary_reference_doi,primary_reference_year,source_sheet_title
M4-FUNG-0013,BGC0000027,MIBiG,4,NCBITAXON:89488,Monascus pilosus,,NR,89488,KC148521.1,1.0,80000.0,80000.0,"KC148521.1:1-80000; GenBank definition: Monascus pilosus pigment biosynthetic gene cluster, complete sequence",PKS (Iterative type I),"Azaphilone-pigment pathway centered on a nonreducing fungal iterative PKS with reductive release, dedicated FAS and oxidoreductive tailoring",Monascus azaphilone pigments,ankaflavin; monascin; rubropunctatin; monascorubrin,azaphilone polyketide pigments,pigmentation / secondary metabolism; native ecological role beyond pigmentation is not fully resolved,10.1007/s00253-013-4745-9,2013.0,Fungal BGC Dossier — M4-FUNG-0013 / BGC0000027
M4-FUNG-0014,BGC0000030,MIBiG,3,NCBITAXON:1279085,Fusarium fujikuroi,STR_46a3db97e105,IMI 58289 / IMI58289,1279085,HF679027.1,82202.0,128472.0,46271.0,"MIBiG display: HF679027.1:82,202–128,472 (46,271 bp); MIBiG locus feature: 100,853–119,287 (18,435 bp)",PKS (Unknown),Six-gene nonreducing iterative type I PKS bikaverin cluster: Bik1/PKS4 core PKS + Bik2 monooxygenase + Bik3 O-methyltransferase + Bik4/Bik5 regulators + Bik6 MFS transporter,bikaverin / benzoxanthone polyketides,bikaverin,red tetracyclic benzoxanthone/naphthoquinone-derived polyketide pigment,ecological defensive/competitive role supported by bacterial-interaction experiments; broader native function may be context dependent,10.1111/j.1365-2958.2009.06695.x,2009.0,Fungal BGC Dossier — M4-FUNG-0014 / BGC0000030
M4-FUNG-0015,BGC0000037,MIBiG,4,NCBITAXON:227321,Aspergillus nidulans,STR_766db12d4c0d,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139,227321,BN001301.1,119085.0,166905.0,47821.0,"MIBiG display: BN001301.1:119,085–166,905 (47,821 bp); MIBiG locus feature: 139,085–146,905, corresponding essentially to cicF/PKS alone",PKS (Unknown),"Cichorine/isoindolinone pathway centered on a nonreducing iterative type I PKS (CicF/PkbA), pathway-specific TF CicD, transporter CicA and multiple tailoring enzymes",cichorine / isoindolinone-phthalimidine polyketides,cichorine,methylated isoindolin-1-one / phthalimidine-derived aromatic polyketide,cichorine is phytotoxic; native ecological function in A. nidulans FGSC A4 remains unresolved,10.1039/C2MD20055D,2012.0,Fungal BGC Dossier — M4-FUNG-0015 / BGC0000037
M4-FUNG-0016,BGC0000039,MIBiG,3,NCBITAXON:5077,Penicillium citrinum,STR_655c334b82c0,compactin-producing P. citrinum strain used by Abe et al.; exact strain designation not exposed in current MIBiG display,5077,AB072893.1,1.0,38231.0,38231.0,"AB072893.1:1–38,231 containing mlcH-G-F-A-C-B-D-E-R",PKS (Unknown),"Nine-gene compactin programme with two iterative PKSs, trans-acting enoyl reductase, P450, transesterase, pathway regulator and two self-resistance functions",statin polyketides / compactin-lovastatin family,compactin (ML-236B; mevastatin),decalin-containing fungal polyketide statin,native producer ecological role unresolved,10.1007/s00438-002-0697-y,2002.0,Fungal BGC Dossier — M4-FUNG-0016 / BGC0000039
M4-FUNG-0017,BGC0000045,MIBiG,3,NCBITAXON:33178,Aspergillus terreus,STR_e19fb1528f8a,AH-02-30-F7,33178,JX971534.1,1.0,31000.0,31000.0,"JX971534.1:1-31,000; eight annotated CDSs in MIBiG/GenBank",PKS (Unknown),"Collaborating iterative fungal PKS system: highly reducing AtCURS1 supplies a tetraketide starter to nonreducing AtCURS2, which extends, aromatizes and macrolactonizes the DAL scaffold",curvularins / dihydroxyphenylacetic-acid lactones (DALs),"10,11-dehydrocurvularin",12-membered dihydroxyphenylacetic-acid macrolactone polyketide,compound is a fungal phytotoxin; native ecological role of the AH-02-30-F7 pathway in its Brickellia-rhizosphere context is not directly demonstrated,10.1128/AEM.03334-12,2013.0,Fungal BGC Dossier — M4-FUNG-0017 / BGC0000045
M4-FUNG-0018,BGC0000046,MIBiG,4.0,NCBITAXON:622360,Alternaria brassicicola,STR_ec8015516d5e,ATCC 96836 / EGS 42-002 / BMP 1950,622360,FJ977165.1,1.0,25000.0,25000.0,"FJ977165.1:1–25,000; six adjacent DEP1–DEP6 genes",PKS (Iterative type I),"Six-gene depudecin pathway containing reducing type I PKS DEP5, two FAD-dependent monooxygenases DEP2/DEP4, MFS transporter DEP3, Zn2Cys6 regulator DEP6 and DEP1 of unresolved function",depudecin / linear oxygenated polyketides,depudecin,eleven-carbon linear polyketide containing epoxide functionality,minor virulence factor on cabbage; not detectably required for virulence on Arabidopsis in the defining assay,10.1094/MPMI-22-10-1258,2009.0,Fungal BGC Dossier — M4-FUNG-0018 / BGC0000046
M4-FUNG-0019,BGC0000048,MIBiG,3,NCBITAXON:675120,Dothistroma septosporum,STR_c6efcb3bbb0f,NZE10 / CBS 128990,675120,DQ149246.3,1.0,52829.0,52829.0,"DQ149246.3:1–52,829; 20 annotated CDSs surrounding the pksA mini-cluster",PKS (Unknown),Aflatoxin-like difuranoanthraquinone polyketide pathway fragmented into multiple mini-clusters; BGC0000048 corresponds only to the PksA-centered mini-cluster,dothistromin / aflatoxin-like difuranoanthraquinones,dothistromin,polyketide difuranoanthraquinone mycotoxin structurally related to aflatoxin precursor versicolorin B,"virulence factor that promotes mesophyll colonization, lesion expansion and sporulation; not essential for infection or completion of the disease cycle",10.1007/s11046-006-0240-5,2006.0,Fungal BGC Dossier — M4-FUNG-0019 / BGC0000048
M4-FUNG-0020,BGC0000057,MIBiG,5.0,NCBITAXON:227321,Aspergillus nidulans,STR_766db12d4c0d,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139,227321,AACD01000135.1,108096.0,154597.0,46502.0,"MIBiG display: AACD01000135.1:108,096–154,597 (46,502 bp); MIBiG locus feature: 122,623–149,174 containing AN7907–AN7916",PKS (Iterative type I),Orsellinic-acid/F9775 aromatic-polyketide locus centered on nonreducing iterative type I PKS OrsA with two required F9775 tailoring genes OrsB/OrsC,orsellinic-acid-derived aromatic polyketides / F9775 compounds,orsellinic acid; F9775A; F9775B,orsellinic acid tetraketide and dimeric/oxidatively elaborated aromatic polyketides,native ecological role unresolved; F9775A/B inhibit cathepsin K and lecanoric acid is a known lichen-associated metabolite,10.1039/b904541d,2010.0,Fungal BGC Dossier — M4-FUNG-0020 / BGC0000057
M4-FUNG-0021,BGC0000062,MIBiG,4,NCBITAXON:334819,Fusarium verticillioides,STR_053f25bbcacb,M-3125 / FGSC 7600 / A-00149,334819,AF155773.5,2097.0,64838.0,62742.0,"MIBiG display AF155773.5:2,097–64,838 (62,742 bp); compound-linked locus AF155773.5:18,228–64,838",PKS (Unknown),"16-gene fumonisin B cluster combining core polyketide/aminotransferase/oxidative/tricarballylic-ester biosynthesis, pathway-specific regulation and a five-gene self-protection/regulatory subcluster",B-series fumonisins / sphinganine-analog mycotoxins,fumonisin B1; fumonisin B2; fumonisin B3,linear aminopolyol polyketides bearing two tricarballylic-acid esters,"potent sphingolipid-biosynthesis inhibitor and major food/feed mycotoxin. Virulence contribution is disease-stage/context dependent: FUM1-null strains retain maize ear infection/ear-rot ability in field tests, whereas whole-cluster restoration/nonproduction comparisons support a requirement for fumonisin in maize seedling foliar disease symptoms.",10.1006/fgbi.1999.1141,1999.0,Fungal BGC Dossier — M4-FUNG-0021 / BGC0000062
M4-FUNG-0022,BGC0000063,MIBiG,3,NCBITAXON:5507,Fusarium oxysporum,STR_841abc1ed64b,FRC O-1890 / NRRL 39464,5507,EU449979.1,1.0,53327.0,53327.0,"EU449979.1:1–53,327; MIBiG lists 17 CDSs including FUM21, 15 additional FUM genes and cpm1",PKS (Unknown),Fusarium fumonisin cluster homolog producing predominantly C-series fumonisins; canonical FUM programme plus cluster-adjacent cytochrome-P450 gene CPM1,C-series fumonisins with minor B-series output,hydroxy-fumonisin C1; fumonisin C1; fumonisin C2; fumonisin C3; fumonisin B1,sphinganine-analog aminopolyol polyketide mycotoxins bearing tricarballylic esters,"native ecological role in O-1890 is unresolved; fumonisins broadly inhibit ceramide synthases, but no O-1890-specific virulence function is established",10.1016/j.fgb.2008.02.004,2008.0,Fungal BGC Dossier — M4-FUNG-0022 / BGC0000063
M4-FUNG-0023,BGC0000064,MIBiG,4,NCBITAXON:117187,Fusarium verticillioides,STR_0cdb9d2417ce,NR for the AY604568 source isolate,117187,AY604568.1,1.0,11857.0,11857.0,"MIBiG: AY604568.1:1–11,857, containing a single CDS, fusA/AAT28740.1",NRPS (Type I); PKS (Type I),"Fusarin PKS–NRPS hybrid pathway: FUS1/FusA scaffold megasynthase plus downstream alpha/beta-hydrolase-like Fus2, P450 Fus8 and methyltransferase Fus9; five additional coexpressed cluster genes are dispensable for canonical fusarin formation under tested conditions",fusarins,fusarin C; dihydrofusarin C; fusarin D; epi-fusarin C,PKS–NRPS-derived substituted 2-pyrrolidone mycotoxins,native ecological role unresolved; fusarin C is mutagenic and exhibits estrogenic agonism in mammalian-cell assays,10.1002/cbic.200400138,2004.0,Fungal BGC Dossier — M4-FUNG-0023 / BGC0000064
M4-FUNG-0024,BGC0000070,MIBiG,5,NCBITAXON:36650,Penicillium aethiopicum,STR_b3860c04c382,IBT 5753,36650,GU574478.1,1.0,55000.0,55000.0,"GU574478.1:1–55,000; 21 CDSs shown by MIBiG, including the 13-gene gsfA–K/gsfR1/gsfR2 cluster plus four flanking genes on each side",PKS (Iterative type I),"Griseofulvin pathway centered on a nonreducing iterative type I PKS with three O-methyltransferases, FAD-dependent halogenase, spirocycle-forming P450 and stereospecific SDR reductase",grisans / griseofulvin polyketides,griseofulvin; epidechlorogriseofulvin/dechlorogriseofulvin,chlorinated spirocyclic benzofuranone fungal polyketide,antifungal natural product; native ecological role in P. aethiopicum IBT 5753 not directly tested,10.1016/j.chembiol.2010.03.015,2010.0,Fungal BGC Dossier — M4-FUNG-0024 / BGC0000070
M4-FUNG-0025,BGC0000076,MIBiG,3,NCBITAXON:193393,Hypomyces subiculosus,STR_f4f206913ea4,DSM 11931,193393,EU520417.1,1.0,36275.0,36275.0,"EU520417.1:1–36,275; nine CDSs hpm1–hpm9",PKS (Unknown),"Nine-gene resorcylic-acid-lactone pathway centered on collaborating reducing and nonreducing iterative type I PKSs plus methylation, epoxidation, hydroxylation, redox/isomerization and putative transport functions",hypothemycin / resorcylic acid lactones (RALs),hypothemycin,14-membered resorcylic acid lactone with epoxide/enone functionality,native ecological role unresolved; compound is a covalent kinase inhibitor with strong biomedical activity,10.1128/AEM.00478-08,2008.0,Fungal BGC Dossier — M4-FUNG-0025 / BGC0000076
M4-FUNG-0026,BGC0000077,MIBiG,3,NCBITAXON:193393,Hypomyces subiculosus,STR_b1c598ed1a81,DSM 11932,193393,EU520418.1,1.0,42765.0,42765.0,"EU520418.1:1–42,765; MIBiG displays hpm1–hpm9 plus an additional downstream oxidoreductase CDS (orf10/ACD39769.1)",PKS (Unknown),"Nine-gene resorcylic-acid-lactone pathway centered on collaborating reducing and nonreducing iterative type I PKSs plus methylation, epoxidation, hydroxylation, redox/isomerization and putative transport functions",hypothemycin / resorcylic acid lactones (RALs),hypothemycin,14-membered resorcylic acid lactone with epoxide/enone functionality,native ecological role unresolved; compound is a covalent kinase inhibitor with strong biomedical activity,10.1128/AEM.00478-08,2008.0,Fungal BGC Dossier — M4-FUNG-0026 / BGC0000077
M4-FUNG-0027,BGC0000088,MIBiG,4,NCBITAXON:285217,Aspergillus terreus,STR_149cc8d320df,ATCC 20542 / MF4845,285217,AH007774.2,1.0,55428.0,55428.0,"MIBiG BGC0000088: AH007774.2:1–55,428 with 17 CDSs",PKS (Unknown),Two-polyketide lovastatin pathway: LovB/LovC build the nonaketide decalin core; LovA performs two sequential oxidations; LovF builds the 2-methylbutyryl side chain; LovD transfers that side chain; LovG releases the LovB-bound nonaketide; support/regulatory/resistance genes flank the core,monacolin/statin polyketides,lovastatin,decalin-containing fungal polyketide statin composed of a nonaketide core esterified with a 2-methylbutyryl side chain,native ecological role unresolved; pharmacologically inhibits HMG-CoA reductase after conversion to the active hydroxy-acid form,10.1126/science.284.5418.1368,1999.0,Fungal BGC Dossier — M4-FUNG-0027 / BGC0000088
M4-FUNG-0028,BGC0000089,MIBiG,2,NCBITAXON:33178,Aspergillus terreus,STR_63b7a1de2166,legacy A. terreus lovastatin sequence provenance; exact strain tag not resolved in retired record,33178,AF141925.1,,,,legacy AF141925.1 partial lovastatin-cluster sequence; current functional MIBiG representation contains zero genes for BGC0000089,PKS (Unknown),legacy partial lovastatin-cluster sequence/provenance record; not an independent biochemical pathway from active BGC0000088,lovastatin/statin polyketides,lovastatin,decalin-containing fungal polyketide statin,see active BGC0000088; this retired record adds no independent biological-role evidence,NR,,Fungal BGC Dossier — M4-FUNG-0028 / BGC0000089
M4-FUNG-0029,BGC0000098,MIBiG,3,NCBITAXON:89488,Monascus pilosus,STR_97de6d56b437,BCRC 38072,89488,DQ176595.1,1.0,45000.0,45000.0,"MIBiG: DQ176595.1:1–45,000 containing nine genes mk/mokA–I; the defining BAC study described the putative cluster within an approximately 42-kb region",PKS (Unknown),Nine-gene statin pathway homologous to the Aspergillus lovastatin programme: MokA builds the nonaketide core with trans-enoyl-reductase MokE support; MokC performs oxidative tailoring; MokB builds the diketide side chain; MokF transfers it; MokG/MokI support resistance/recovery and MokH regulates transcription,monacolins/statins,monacolin K (chemically identical to lovastatin),decalin-containing fungal polyketide statin with a 2-methylbutyrate side chain,native ecological role unresolved; monacolin K inhibits HMG-CoA reductase after conversion to/through the hydroxy-acid pharmacophore,10.1021/jf800595k,2008.0,Fungal BGC Dossier — M4-FUNG-0029 / BGC0000098
M4-FUNG-0030,BGC0000099,MIBiG,3.0,NCBITAXON:1077442,Talaromyces marneffei,STR_ece92c4e45ea,PM1,1077442,HM070047.1,1.0,8104.0,8104.0,"MIBiG: HM070047.1:1–8,104, containing only pks3/ADH01663.1",PKS (Unknown),"Five-gene azaphilone/red-pigment programme: nonreducing PKS3 plus pathway regulator RP1, fatty-acid-synthase-related RP2/RP3 and oxidoreductase RP4; pathway branches to monascorubrin/rubropunctatin pigments, ankaflavin and citrinin",azaphilone pigments and pathway-associated polyketides,monascorubrin,azaphilone/polyketide pigment family; citrinin is a separate toxic polyketide branch product within this PM1 programme,diffusible red pigment contributes a conspicuous mold-phase phenotype; native ecological/virulence function remains unresolved,10.1038/srep06728,2014.0,Fungal BGC Dossier — M4-FUNG-0030 / BGC0000099
M4-FUNG-0031,BGC0000101,MIBiG,5,NCBITAXON:227321,Aspergillus nidulans,STR_766db12d4c0d,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139,227321,BN001308.1,4367684.0,4413245.0,45562.0,"MIBiG displayed region BN001308.1:4,367,684–4,413,245; curated locus 4,379,755–4,404,005 contains 12 CDSs spanning mdpL through mdpA",PKS (Iterative type I),"Subtelomeric emodin/monodictyphenone/prenyl-xanthone programme centered on NR-PKS MdpG, MβL-like thioesterase MdpF, split MdpH decarboxylase/anthrone-oxidase functions, reductive/Baeyer–Villiger remodeling enzymes, cluster regulators MdpE/MdpA, plus distal xanthone prenyltransferases XptA/XptB and dehydrogenase XptC","emodin-family anthraquinones, benzophenones and prenylated xanthones",emodin; monodictyphenone; shamixanthone,NR-PKS-derived anthraquinone → benzophenone → xanthone pathway with late prenylation,prenylated xanthones accumulate in Hülle cells/sexual structures and contribute antifeedant protection against arthropod fungivory,10.1128/AEM.02187-09,2010.0,Fungal BGC Dossier — M4-FUNG-0031 / BGC0000101
M4-FUNG-0032,BGC0000104,MIBiG,4,NCBITAXON:5074,Penicillium brevicompactum,STR_902dd341caca,IBT 23078,5074,HQ731031.1,1.0,33515.0,33515.0,"MIBiG display 1–33,515; curated gene-bearing locus 7,000–32,485 contains eight database CDSs mpaA–mpaH",PKS (Type I),"Meroterpenoid mycophenolic-acid programme: nonreducing PKS MpaC, natural P450–hydrolase fusion MpaDE, membrane prenyltransferase MpaA, ER oxygenase MpaB, cytosolic O-methyltransferase MpaG, peroxisomal acyl-CoA hydrolase MpaH and cluster-local self-resistance IMPDH MpaF; late chain shortening recruits primary peroxisomal β-oxidation",mycophenolic acid / fungal meroterpenoids,mycophenolic acid (MPA),"phthalide-containing meroterpenoid assembled from polyketide and farnesyl-derived components, followed by oxidative side-chain shortening",producer self-protection is directly supported through MpaF/IMPDH-B; broader native ecological role of secreted MPA remains unresolved,10.1128/AEM.03015-10,2011.0,Fungal BGC Dossier — M4-FUNG-0032 / BGC0000104
M4-FUNG-0033,BGC0000107,MIBiG,3,NCBITAXON:227321,Aspergillus nidulans,STR_b4af487e24fc,FGSC A4 / Glasgow wild type,227321,BN001302.1,1116199.0,1162873.0,46675.0,"MIBiG displayed region BN001302.1:1,116,199–1,162,873; candidate locus 1,136,055–1,142,873; sole annotated biosynthetic CDS wA at 1,136,199–1,142,873",PKS (Type I),"Distributed conidial-pigment programme initiated by WA, a nonreducing iterative type I PKS that forms heptaketide naphthopyrone YWA1; distal YA laccase, FwA EthD-domain enzyme and ChaA cytochrome P450 modify the pigment pathway during asexual development",naphtho-γ-pyrones / conidial-wall pigments,YWA1 naphthopyrone (yellow conidial-pigment intermediate),heptaketide naphtho-γ-pyrone precursor feeding a developmentally controlled conidial-pigment pathway,mature green conidial pigmentation protects asexual spores against ultraviolet damage; the exact contribution of YWA1 itself versus downstream pigment is not isolated,10.1007/BF00279362,1992.0,Fungal BGC Dossier — M4-FUNG-0033 / BGC0000107
M4-FUNG-0034,BGC0000120,MIBiG,5,NCBITAXON:27334,Penicillium expansum,STR_f705f0a94320,NRRL 35695,27334,KF899892.1,1.0,40217.0,40217.0,"KF899892.1:1–40,217; gene order patH-patG-patF-patE-patD-patC-patB-patA-patM-patN-patO-patL-patI-patJ-patK",PKS (Iterative type I),"15-gene patulin programme containing 6-MSAS PatK, eight additional pathway enzymes, pathway-specific TF PatL and three transporters; final oxidation occurs extracellularly/cell-wall associated",patulin mycotoxin pathway,patulin,acetate-derived tetraketide mycotoxin / electrophilic lactone-like polyketide,"patulin is not required for infection initiation; its contribution to disease severity is strain/host-context dependent, with cultivar-dependent aggressiveness in NRRL 35695 but no virulence defect reported for patulin-null T01 mutants",10.1016/j.ijfoodmicro.2014.07.028,2014.0,Fungal BGC Dossier — M4-FUNG-0034 / BGC0000120
M4-FUNG-0035,BGC0000121,MIBiG,3,NCBITAXON:1229662,Pestalotiopsis fici,STR_dfe58d0a00ae,W106-1 / CGMCC3.15140,1229662,KC145148.1,1.0,40346.0,40346.0,"MIBiG region 1–40,346; locus annotation begins at ptaA 4,104 and extends through ptaM 40,345/40,346, with 16 named pta genes",PKS (Type I),"Group-V nonreducing iterative PKS / emodin-family pathway diverted to chlorinated diphenyl-ether chemistry by methylation, ring cleavage, halogenation and multicopper oxidative coupling",chlorinated diphenyl ethers / asterric-acid-like metabolites,pestheic acid = RES-1214-2 = dihydromaldoxin,chlorinated diphenyl ether derived from an emodin-family nonreducing-PKS pathway,native ecological role in the tea endophyte unresolved; pestheic acid also serves as a plausible biosynthetic precursor toward chloropupukeanane chemistry in P. fici,10.1002/cbic.201300626,2014.0,Fungal BGC Dossier — M4-FUNG-0035 / BGC0000121
