gene_key,dossier_id,gene_id,gene_name,protein_accession,start_bp,end_bp,strand,predicted_function_raw,demonstrated_function_raw,perturbation_raw,phenotype_raw,source_ids,note,source_row
M4-FUNG-0002:G006,M4-FUNG-0002,G006,aflR,BAE71318.1,42012.0,43346.0,-,pathway-specific transcriptional regulator,Weakly transcribed in RIB40; AflR amino-acid substitutions were not sufficient to explain regulatory failure in forced-expression tests,forced expression / allele comparison,A. oryzae AflR retained regulatory competence in the Kiyota test,S001; S002; S003,RIB40 aflR transcript ~11.6% of A. parasiticus control after 2 d YES at 30°C.,109
M4-FUNG-0002:G007,M4-FUNG-0002,G007,aflJ / aflS,BAE71319.1,44086.0,45536.0,+,pathway co-regulator / transcriptional modulator,A. oryzae AflJ/AflS carries loss-of-function amino-acid substitutions,forced expression / allele swap,A. oryzae aflJ allele failed to support downstream AF-gene expression; A. flavus allele restored regulatory activity in assay,S001; S003,Critical mechanistic lesion; retain aflJ and aflS aliases.,110
M4-FUNG-0002:G008,M4-FUNG-0002,G008,adhA,BAE71320.1,46098.0,46934.0,+,short-chain alcohol dehydrogenase,,,,S001,,111
M4-FUNG-0002:G009,M4-FUNG-0002,G009,estA,BAE71321.1,47855.0,48856.0,+,esterase,,,,S001,,112
M4-FUNG-0002:G010,M4-FUNG-0002,G010,norA,BAE71322.1,49147.0,50151.0,+,reductase/dehydrogenase,RIB40 allele has frameshift/premature stop and is predicted to be 73 aa shorter,,,S001; S002,Authors argued this lesion alone was unlikely to explain total aflatoxin nonproduction.,113
M4-FUNG-0002:G011,M4-FUNG-0002,G011,ver-1,BAE71323.1,51245.0,52144.0,+,reductase/dehydrogenase,,,,S001,,114
M4-FUNG-0002:G012,M4-FUNG-0002,G012,verA,BAE71324.1,53176.0,54711.0,+,monooxygenase,Sequence-divergent RIB40 homolog; no frameshift/deletion/nonsense identified,,,S001; S002,~30 of 453 aa differ from A. flavus comparator in Tominaga analysis.,115
M4-FUNG-0002:G013,M4-FUNG-0002,G013,avnA,BAE71325.1,55763.0,57354.0,-,cytochrome P450 monooxygenase,Transcript not detected in RIB40 under primary test condition,,no detectable transcript,S001; S002,"2 d YES, 30°C.",116
M4-FUNG-0002:G014,M4-FUNG-0002,G014,verB,BAE71326.1,57722.0,59278.0,-,desaturase,Transcript not detected in RIB40 under primary test condition,,no detectable transcript,S001; S002,"2 d YES, 30°C.",117
M4-FUNG-0002:G015,M4-FUNG-0002,G015,avfA,BAE71327.1,60315.0,61163.0,-,cytochrome P450 monooxygenase,,,,S001,,118
M4-FUNG-0002:G016,M4-FUNG-0002,G016,omtB,BAE71328.1,61341.0,62675.0,-,O-methyltransferase B,,,,S001,,119
M4-FUNG-0002:G017,M4-FUNG-0002,G017,omtA,BAE71329.1,63941.0,65427.0,-,O-methyltransferase A,Transcript not detected in RIB40 under primary test condition,,no detectable transcript,S001; S002,"2 d YES, 30°C.",120
M4-FUNG-0002:G018,M4-FUNG-0002,G018,ordA,BAE71330.1,66673.0,68623.0,+,oxidoreductase A / cytochrome P450 monooxygenase,,,,S001,,121
M4-FUNG-0002:G019,M4-FUNG-0002,G019,vbs,BAE71331.1,69138.0,71124.0,+,versicolorin B synthase,Transcript not detected in RIB40 under primary test condition,,no detectable transcript,S001; S002,"2 d YES, 30°C.",122
M4-FUNG-0002:G020,M4-FUNG-0002,G020,cypX,BAE71332.1,71668.0,73316.0,-,cytochrome P450 monooxygenase,,,,S001,,123
M4-FUNG-0002:G021,M4-FUNG-0002,G021,moxY,BAE71333.1,73931.0,75394.0,+,putative monooxygenase,,,,S001,,124
M4-FUNG-0002:G022,M4-FUNG-0002,G022,ordB,BAE71334.1,75945.0,76745.0,-,oxidoreductase B / cytochrome P450 monooxygenase,,,,S001,,125
M4-FUNG-0002:G023,M4-FUNG-0002,G023,hypA,BAE71335.1,77147.0,78697.0,-,hypothetical protein,,,,S001,,126
M4-FUNG-0003:G001,M4-FUNG-0003,G001,aflF / norB,AAS66007.1,1683.0,2831.0,-,dehydrogenase,contributes to late G-aflatoxin formation; norB disruption alters the late G1 intermediate profile,gene disruption,accumulation of a presumptive 362-Da alcohol intermediate; supports a NorB oxidation step,S016,Later functional evidence supersedes the 2004 review-era statement that norB function was unconfirmed.,104
M4-FUNG-0003:G002,M4-FUNG-0003,G002,aflU / cypA,AAS66021.1,3110.0,4871.0,+,cytochrome P450 monooxygenase,required for G-aflatoxin formation,insertional disruption,loss of G aflatoxins while B aflatoxins retained,S002; S009,Branch-specific functional evidence.,105
M4-FUNG-0003:G003,M4-FUNG-0003,G003,aflT,AAS66020.1,5573.0,7469.0,+,putative toxin transporter,,,,S002; S004,Core pathway annotation; transporter role less causally resolved than core enzymes.,106
M4-FUNG-0003:G004,M4-FUNG-0003,G004,aflC / pksA / pksL1,AAS66004.1,9137.0,15762.0,-,polyketide synthase,required for aflatoxin polyketide-backbone biosynthesis,gene disruption,loss of aflatoxin/early precursor synthesis,S002; S005,Core PKS.,107
M4-FUNG-0003:G005,M4-FUNG-0003,G005,aflD / nor-1,AAS66005.1,17448.0,18437.0,+,norsolorinic acid reductase,early pathway reductase; strongly used as pathway-expression reporter,native-locus versus ectopic reporter,position-dependent transcription; native locus active under inducing conditions,S002; S008,NOR→AVN.,108
M4-FUNG-0003:G006,M4-FUNG-0003,G006,aflA / fas-2 / hexA,AAS66002.1,19724.0,24844.0,-,fatty acid synthase alpha subunit,starter-unit formation for aflatoxin biosynthesis,,,S002; S004,Core pathway.,109
M4-FUNG-0003:G007,M4-FUNG-0003,G007,aflB / fas-1 / hexB / uvm8 / fas-1A,AAS66003.1,25546.0,31391.0,+,fatty acid synthase beta subunit,starter-unit formation for aflatoxin biosynthesis,,,S002; S004,Core pathway.,110
M4-FUNG-0003:G008,M4-FUNG-0003,G008,aflR / apa-2 / afl-2,AAS66018.1,32836.0,34170.0,-,Zn(II)2Cys6 pathway-specific transcriptional activator,controls multiple aflatoxin-pathway genes; increased expression can overcome nitrate inhibition,overexpression; disruption,overexpression increases pathway transcription under nitrate; disruption abolishes precursor production and downstream transcription,S002; S006; S007,Canonical pathway-specific regulator.,111
M4-FUNG-0003:G009,M4-FUNG-0003,G009,aflS (historical alias aflJ),AAS66019.1,34909.0,36355.0,+,pathway co-regulator / transcriptional enhancer,interacts functionally with AflR in pathway regulation,,,S002; S010,Do not confuse standardized aflS with standardized aflJ/estA; historical nomenclature collision.,112
M4-FUNG-0003:G010,M4-FUNG-0003,G010,aflH / adhA,AAS66009.1,36939.0,37775.0,+,alcohol dehydrogenase,associated with conversion of 5'-hydroxyaverantin toward averufin/averufanin,,,S002; S004,Core pathway.,113
M4-FUNG-0003:G011,M4-FUNG-0003,G011,aflJ / estA,AAS66011.1,38695.0,39694.0,+,esterase,associated with versiconal-hemiacetal-acetate processing,,,S002; S004,Standardized aflJ is the old estA locus; distinct from old aflJ alias now standardized aflS.,114
M4-FUNG-0003:G012,M4-FUNG-0003,G012,aflE / norA / aad,AAS66006.1,39983.0,41208.0,+,reductase/dehydrogenase,early pathway reductase,,,S002; S004,Core pathway.,115
M4-FUNG-0003:G013,M4-FUNG-0003,G013,aflM / ver-1,AAS66014.1,42020.0,42919.0,+,dehydrogenase / ketoreductase,required in middle pathway; versicolorin A toward demethylsterigmatocystin,transcriptional monitoring in aflR experiments,downstream transcript depends on AflR,S002; S006; S007,Core pathway.,116
M4-FUNG-0003:G014,M4-FUNG-0003,G014,aflN / verA,AAS66015.1,43951.0,45478.0,+,monooxygenase,middle-pathway enzyme,,,S002; S004,Core pathway.,117
M4-FUNG-0003:G015,M4-FUNG-0003,G015,aflG / avnA,AAS66008.1,46528.0,48128.0,-,cytochrome P450 monooxygenase,averantin oxidation in early pathway,,,S002; S004,Core pathway.,118
M4-FUNG-0003:G016,M4-FUNG-0003,G016,aflL / verB,AAS66013.1,48496.0,50052.0,-,desaturase,versicolorin B to versicolorin A branch chemistry,,,S002; S004,Core pathway.,119
M4-FUNG-0003:G017,M4-FUNG-0003,G017,aflI / avfA,AAS66010.1,51052.0,51909.0,-,oxidase,averufin-to-versiconal-hemiacetal-acetate region,,,S002; S004,Core pathway.,120
M4-FUNG-0003:G018,M4-FUNG-0003,G018,aflO / omtB / dmtA,AAS66016.1,52083.0,53418.0,-,O-methyltransferase B,methylation in late aflatoxin pathway,,,S002; S004,Core pathway.,121
M4-FUNG-0003:G019,M4-FUNG-0003,G019,aflP / omtA / omt-1,AAS66017.1,54736.0,56222.0,-,O-methyltransferase A,late-pathway methyltransferase; transcript depends on AflR,aflR overexpression/disruption assays,increased with aflR overexpression; absent after aflR disruption,S002; S006; S007,Core pathway.,122
M4-FUNG-0003:G020,M4-FUNG-0003,G020,aflQ / ordA / ord-1,AAS66031.1,57543.0,59488.0,+,cytochrome P450 monooxygenase,"late P450 monooxygenase; complementation restores conversion of OMST/DHOMST toward aflatoxins B1, G1, B2 and G2",complementation; heterologous yeast expression; site-directed mutagenesis,functional ordA restores late aflatoxin production; catalytic mutations impair activity,S017,Direct A. parasiticus biochemical/genetic evidence.,123
M4-FUNG-0003:G021,M4-FUNG-0003,G021,aflK / vbs,AAS66012.1,60000.0,61984.0,+,versicolorin B synthase,versiconal to versicolorin B,,,S002; S004,Core pathway.,124
M4-FUNG-0003:G022,M4-FUNG-0003,G022,aflV / cypX,AAS66022.1,62552.0,64200.0,-,cytochrome P450 monooxygenase,AVR monooxygenase catalyzing averufin to hydroxyversicolorone,gene deletion + metabolite feeding,loss of aflatoxin productivity; AVR accumulation; downstream intermediates rescue production,S012,Directly resolved in A. parasiticus NRRL 2999 in 2005.,125
M4-FUNG-0003:G023,M4-FUNG-0003,G023,aflW / moxY,AAS66023.1,64821.0,66266.0,+,monooxygenase,HVN monooxygenase catalyzing Baeyer-Villiger conversion of HVN to VHA and VONE to VOAc,gene deletion + metabolite feeding,loss of aflatoxin productivity with HVN/VONE accumulation; downstream substrates rescue,S012,Directly resolved in A. parasiticus NRRL 2999 in 2005.,126
M4-FUNG-0003:G024,M4-FUNG-0003,G024,aflX / ordB,AAS66024.1,66830.0,67630.0,-,monooxygenase / oxidase,required for versicolorin A to demethylsterigmatocystin conversion; exact reductive ring-opening chemistry remains mechanistically inferred,gene disruption + precursor feeding,A. flavus aflX disruptants accumulate more versicolorin A and less aflatoxin; ST/OMST feeding bypasses the block,S014,Direct functional study used A. flavus; apply to the conserved A. parasiticus ortholog with species-context caveat.,127
M4-FUNG-0003:G025,M4-FUNG-0003,G025,aflY / hypA,AAS66025.1,67990.0,69582.0,-,hypothetical pathway protein,required for versicolorin A to sterigmatocystin/demethylsterigmatocystin transition; predicted Baeyer-Villiger oxidase in xanthone-ring formation,gene disruption + metabolite feeding,A. parasiticus aflY/hypA disruptants accumulate versicolorin A and lose aflatoxin production,S013,Direct A. parasiticus functional assignment.,128
M4-FUNG-0003:G026,M4-FUNG-0003,G026,nadA,AAS66029.1,70448.0,71843.0,+,OYE-family FMN-binding NAD(P)H-dependent reductase,required for late G-aflatoxin formation; catalyzes reduction of a late AFG1 precursor/NADA intermediate,gene disruption + RT-PCR + cell-free enzymology,"nadA mutants accumulate NADA and produce about half the wild-type G-group aflatoxin under tested conditions, with little effect on B-group output",S015; S016,Historically listed with the four-gene adjacent sugar-utilization block; later direct evidence places nadA in the functional aflatoxin programme.,129
M4-FUNG-0003:G027,M4-FUNG-0003,G027,hxtA,AAS66028.1,72213.0,73913.0,-,hexose transporter,,,,S002; S003,Adjacent sugar-utilization region.,130
M4-FUNG-0003:G028,M4-FUNG-0003,G028,glcA,AAS66027.1,74555.0,76444.0,+,glucosidase,,,,S002; S003,Adjacent sugar-utilization region.,131
M4-FUNG-0003:G029,M4-FUNG-0003,G029,sugR,AAS66030.1,76682.0,78203.0,-,sugar-utilization regulator,,,,S002; S003,Adjacent sugar-utilization region.,132
M4-FUNG-0004:G001,M4-FUNG-0004,G001,aflT,AAS90092.1,13470.0,15450.0,+,cluster-associated transporter,NR,,,S001,MIBiG gene annotation; transporter function not treated here as AF13-specific causal evidence.,104
M4-FUNG-0004:G002,M4-FUNG-0004,G002,aflC / pksA,AAS90093.1,17109.0,23732.0,-,iterative polyketide synthase,core polyketide-backbone enzyme by established aflatoxin pathway genetics,,,S001; S009,MIBiG alias pksA; standardized name aflC.,105
M4-FUNG-0004:G003,M4-FUNG-0004,G003,aflD / nor-1,AAS90110.1,25422.0,26411.0,+,norsolorinic-acid reductase,early aflatoxin-pathway reductase,,,S001; S009,,106
M4-FUNG-0004:G004,M4-FUNG-0004,G004,aflA / fas-2 / hexA,AAS90111.1,27719.0,32839.0,-,fatty-acid synthase alpha subunit,starter-unit formation in aflatoxin biosynthesis,,,S001; S009,,107
M4-FUNG-0004:G005,M4-FUNG-0004,G005,aflB / fas-1 / hexB,AAS90095.1,33553.0,39399.0,+,fatty-acid synthase beta subunit,starter-unit formation in aflatoxin biosynthesis,,,S001; S009,MIBiG displays product Fas-1/HexB without a gene alias.,108
M4-FUNG-0004:G006,M4-FUNG-0004,G006,aflR,AAS90091.1,40669.0,42003.0,-,Zn(II)2Cys6 pathway-specific transcriptional regulator,canonical aflatoxin-cluster transcriptional activator,,,S001; S009,,109
M4-FUNG-0004:G007,M4-FUNG-0004,G007,aflS (historical aflJ),AAS90096.1,42743.0,44195.0,+,aflatoxin-pathway co-regulator,cluster regulatory cofactor by broader aflatoxin literature,,,S001; S009,MIBiG uses historical alias aflJ; standardized nomenclature commonly calls this aflS.,110
M4-FUNG-0004:G008,M4-FUNG-0004,G008,aflH / adhA,AAS90097.1,44759.0,45595.0,+,alcohol dehydrogenase,aflatoxin-pathway enzyme,,,S001; S009,,111
M4-FUNG-0004:G009,M4-FUNG-0004,G009,aflJ / estA,AAS90098.1,46515.0,47516.0,+,esterase,aflatoxin-pathway esterase,,,S001; S009,Standardized aflJ corresponds to historical estA; do not merge with historical aflJ = aflS.,112
M4-FUNG-0004:G010,M4-FUNG-0004,G010,aflE / norA,AAS90094.1,47807.0,49091.0,+,reductase/dehydrogenase,early aflatoxin-pathway reductase,,,S001; S009,,113
M4-FUNG-0004:G011,M4-FUNG-0004,G011,aflM / ver-1,AAS90099.1,49906.0,50805.0,+,ketoreductase/dehydrogenase,middle aflatoxin-pathway enzyme,,,S001; S009,,114
M4-FUNG-0004:G012,M4-FUNG-0004,G012,aflN / verA,AAS90100.1,51838.0,53373.0,+,monooxygenase,middle aflatoxin-pathway enzyme,,,S001; S009,,115
M4-FUNG-0004:G013,M4-FUNG-0004,G013,aflG / avnA,AAS90101.1,54428.0,56019.0,-,cytochrome P450 monooxygenase,early aflatoxin-pathway oxidation step,,,S001; S009,,116
M4-FUNG-0004:G014,M4-FUNG-0004,G014,aflL / verB,AAS90102.1,56387.0,57943.0,-,desaturase,aflatoxin-pathway desaturation step,,,S001; S009,,117
M4-FUNG-0004:G015,M4-FUNG-0004,G015,aflI / avfA,AAS90112.1,58979.0,59827.0,-,oxidase / monooxygenase,aflatoxin-pathway enzyme,,,S001; S009,,118
M4-FUNG-0004:G016,M4-FUNG-0004,G016,aflO / omtB,AAS90103.1,60007.0,61341.0,-,O-methyltransferase B,late aflatoxin-pathway methylation step,,,S001; S009,,119
M4-FUNG-0004:G017,M4-FUNG-0004,G017,aflP / omtA,AAS90104.1,62598.0,64084.0,-,O-methyltransferase A,late aflatoxin-pathway methyltransferase,,,S001; S009,,120
M4-FUNG-0004:G018,M4-FUNG-0004,G018,aflQ / ordA,AAS90105.1,65334.0,67284.0,+,cytochrome P450 monooxygenase / O-methylsterigmatocystin oxidoreductase,late conversion of OMST/DHOMST toward final B aflatoxins; direct ortholog evidence also supports G-product formation in B/G producers,complementation + heterologous yeast expression + site-directed mutagenesis in A. parasiticus,functional ordA restores late aflatoxin production; catalytic mutations impair activity,S001; S015,Direct biochemical/genetic experiment is in A. parasiticus; AF13 contains the conserved intact ordA ortholog.,121
M4-FUNG-0004:G019,M4-FUNG-0004,G019,aflK / vbs,AAS90106.1,67799.0,69785.0,+,versicolorin B synthase,versiconal-to-versicolorin B step,,,S001; S009,,122
M4-FUNG-0004:G020,M4-FUNG-0004,G020,aflV / cypX,AAS90107.1,70355.0,72003.0,-,cytochrome P450 monooxygenase,AVR monooxygenase catalyzing averufin to hydroxyversicolorone,gene deletion + metabolite feeding in A. parasiticus,"cypX deletion abolishes aflatoxin productivity, accumulates AVR, and is bypassed by downstream intermediates",S001; S012,Direct functional study is A. parasiticus; function transferred to the conserved AF13 ortholog with species-context caveat.,123
M4-FUNG-0004:G021,M4-FUNG-0004,G021,aflW / moxY,AAS90108.1,72616.0,74361.0,+,monooxygenase,HVN monooxygenase catalyzing Baeyer-Villiger conversion of HVN to VHA and VONE to VOAc,gene deletion + metabolite feeding in A. parasiticus,moxY deletion abolishes aflatoxin productivity with HVN/VONE accumulation; downstream intermediates rescue,S001; S012,Direct functional study is A. parasiticus; function transferred to the conserved AF13 ortholog with species-context caveat.,124
M4-FUNG-0004:G022,M4-FUNG-0004,G022,aflX / ordB,AAS90109.1,74628.0,75428.0,-,oxidoreductase / oxidase,required for versicolorin A to demethylsterigmatocystin conversion,gene disruption + precursor feeding in A. flavus,aflX disruptants accumulate more versicolorin A and less aflatoxin; ST/OMST feeding bypasses the block,S001; S014,"Direct A. flavus functional evidence, although not specifically AF13.",125
M4-FUNG-0004:G023,M4-FUNG-0004,G023,aflY / hypA,AAS90113.1,75783.0,77383.0,-,cluster oxidase / pathway protein,required for the versicolorin A to sterigmatocystin/demethylsterigmatocystin transition; predicted Baeyer-Villiger oxidase,gene disruption + metabolite feeding in A. parasiticus,hypA/aflY disruptants accumulate versicolorin A and lose aflatoxin production,S001; S013,Direct functional study is A. parasiticus; function transferred to the conserved AF13 ortholog with species-context caveat.,126
M4-FUNG-0005:G001,M4-FUNG-0005,G001,aflF / norB,AAS89996.1,12296.0,13444.0,-,dehydrogenase / aryl-alcohol-dehydrogenase-family protein,late G-aflatoxin pathway component; NorB oxidation contributes to AFG1 formation,gene disruption in A. parasiticus comparator,norB disruption accumulates a presumptive 362-Da alcohol intermediate in the G1 branch,S001; S015,Direct mechanistic evidence is from A. parasiticus; BN008R retains the intact ortholog and produces G1.,104
M4-FUNG-0005:G002,M4-FUNG-0005,G002,aflU / cypA,AAS89997.1,13721.0,15482.0,+,cytochrome P450 monooxygenase,required for G-aflatoxin formation by mechanistic disruption in A. parasiticus,cypA disruption in comparator,G1 lost while B aflatoxins retained,S001; S004,BN008R itself retains intact cypA.,105
M4-FUNG-0005:G003,M4-FUNG-0005,G003,aflT,AAS89998.1,16161.0,18141.0,+,cluster-associated transporter,NR,,,S001,,106
M4-FUNG-0005:G004,M4-FUNG-0005,G004,aflC / pksA,AAS89999.1,19824.0,26450.0,-,iterative polyketide synthase,core aflatoxin polyketide-backbone enzyme,,,S001; S006,,107
M4-FUNG-0005:G005,M4-FUNG-0005,G005,aflD / nor-1,AAS90000.1,28182.0,29171.0,+,norsolorinic-acid reductase,early pathway reductase,,,S001; S006,,108
M4-FUNG-0005:G006,M4-FUNG-0005,G006,aflA / hexA,AAS90001.1,30474.0,35594.0,-,fatty-acid synthase alpha subunit,starter-unit formation,,,S001; S006,,109
M4-FUNG-0005:G007,M4-FUNG-0005,G007,aflB / hexB,AAS90002.1,36315.0,42159.0,+,fatty-acid synthase beta subunit,starter-unit formation,,,S001; S006,,110
M4-FUNG-0005:G008,M4-FUNG-0005,G008,aflR,AAS90003.1,43624.0,44928.0,-,Zn(II)2Cys6 pathway-specific transcription factor,regulatory transcript measured across nitrogen/pH conditions,,condition-responsive pathway regulation,S001; S003; S005,Product output is not tightly predicted by aflR alone in BN008R pH experiments.,111
M4-FUNG-0005:G009,M4-FUNG-0005,G009,aflS (historical aflJ),AAS90004.1,45676.0,47142.0,+,aflatoxin-pathway co-regulator,S_BG isolates show lower aflJ/aflS expression on nitrate versus ammonium,,,S001; S003,Use modern aflS name while preserving historical aflJ alias.,112
M4-FUNG-0005:G010,M4-FUNG-0005,G010,aflH / adhA,AAS90005.1,47693.0,48523.0,+,alcohol dehydrogenase,pathway enzyme,,,S001; S006,,113
M4-FUNG-0005:G011,M4-FUNG-0005,G011,aflJ / estA,AAS90006.1,49450.0,50449.0,+,esterase,pathway enzyme,,,S001; S006,Distinct locus from historical aflJ=aflS.,114
M4-FUNG-0005:G012,M4-FUNG-0005,G012,aflE / norA,AAS90007.1,50685.0,51969.0,+,reductase/dehydrogenase,early pathway enzyme,,,S001; S006,,115
M4-FUNG-0005:G013,M4-FUNG-0005,G013,aflM / ver-1,AAS90008.1,52798.0,53697.0,+,versicolorin reductase / ketoreductase,middle pathway enzyme,,,S001; S006,,116
M4-FUNG-0005:G014,M4-FUNG-0005,G014,aflN / verA,AAS90009.1,54731.0,56267.0,+,monooxygenase,middle pathway enzyme,,,S001; S006,,117
M4-FUNG-0005:G015,M4-FUNG-0005,G015,aflG / avnA,AAS90010.1,57320.0,58918.0,-,cytochrome P450 monooxygenase,early pathway oxidation step,,,S001; S006,,118
M4-FUNG-0005:G016,M4-FUNG-0005,G016,aflL / verB,AAS90011.1,59316.0,60861.0,-,desaturase,pathway desaturation step,,,S001; S006,,119
M4-FUNG-0005:G017,M4-FUNG-0005,G017,aflI / avfA,AAS90017.1,61871.0,62728.0,-,oxidase,pathway enzyme,,,S001; S006,,120
M4-FUNG-0005:G018,M4-FUNG-0005,G018,aflO / omtB,AAS90012.1,62901.0,64235.0,-,O-methyltransferase B,late pathway methylation,,,S001; S006,,121
M4-FUNG-0005:G019,M4-FUNG-0005,G019,aflP / omtA,AAS90018.1,65519.0,67004.0,-,O-methyltransferase A,late pathway methyltransferase,,,S001; S006,,122
M4-FUNG-0005:G020,M4-FUNG-0005,G020,aflQ / ordA,AAS90013.1,68327.0,70271.0,+,cytochrome P450 monooxygenase / O-methylsterigmatocystin oxidoreductase,late conversion of OMST/DHOMST toward final B/G aflatoxins,complementation + heterologous yeast expression + site-directed mutagenesis in A. parasiticus,functional ordA restores late aflatoxin production; catalytic mutations impair monooxygenase activity,S001; S005; S014,Direct mechanistic study is in A. parasiticus; BN008R carries the conserved intact ordA ortholog and its transcript was quantified in the pH experiment.,123
M4-FUNG-0005:G021,M4-FUNG-0005,G021,aflK / vbs,AAS90019.1,70785.0,72769.0,+,versicolorin B synthase,pathway enzyme,,,S001; S006,,124
M4-FUNG-0005:G022,M4-FUNG-0005,G022,aflV / cypX,AAS90014.1,73347.0,74994.0,-,cytochrome P450 monooxygenase,AVR monooxygenase catalyzing averufin to hydroxyversicolorone,gene deletion + metabolite feeding in A. parasiticus,"cypX deletion abolishes aflatoxin productivity, accumulates AVR, and is bypassed by downstream intermediates",S001; S011,Direct mechanistic study is in A. parasiticus; apply to BN008R ortholog with species-context caveat.,125
M4-FUNG-0005:G023,M4-FUNG-0005,G023,aflW / moxY,AAS90015.1,75610.0,77076.0,+,monooxygenase,HVN monooxygenase catalyzing Baeyer-Villiger conversion of HVN to VHA and VONE to VOAc,gene deletion + metabolite feeding in A. parasiticus,moxY deletion abolishes aflatoxin productivity with HVN/VONE accumulation; downstream intermediates rescue,S001; S011,Direct mechanistic study is in A. parasiticus; apply to BN008R ortholog with species-context caveat.,126
M4-FUNG-0005:G024,M4-FUNG-0005,G024,aflX / ordB,AAS90016.1,77627.0,78427.0,-,oxidoreductase / monooxygenase,required for versicolorin A to demethylsterigmatocystin conversion,gene disruption + precursor feeding in A. flavus,aflX disruptants accumulate more versicolorin A and less aflatoxin; ST/OMST feeding bypasses the block,S001; S013,"Direct A. flavus evidence, not BN008R-specific; ortholog transfer is explicitly qualified.",127
M4-FUNG-0005:G025,M4-FUNG-0005,G025,aflY / hypA,AAS90020.1,78787.0,80379.0,-,cluster-associated oxidase/hypothetical protein,required for versicolorin A to sterigmatocystin/demethylsterigmatocystin transition; predicted Baeyer-Villiger oxidase,gene disruption + metabolite feeding in A. parasiticus,aflY/hypA disruptants accumulate versicolorin A and lose aflatoxin production,S001; S012,Direct mechanistic study is in A. parasiticus; apply to BN008R ortholog with species-context caveat.,128
M4-FUNG-0006:G001,M4-FUNG-0006,G001,aflT,AAS90021.1,5135.0,7115.0,+,cluster-associated transporter,NR,,,S001,,104
M4-FUNG-0006:G002,M4-FUNG-0006,G002,aflC / pksA,AAS90022.1,8712.0,15335.0,-,iterative polyketide synthase,core aflatoxin polyketide-backbone enzyme,,,S001; S004,,105
M4-FUNG-0006:G003,M4-FUNG-0006,G003,aflD / nor-1,AAS90023.1,17023.0,18012.0,+,norsolorinic-acid reductase,early-pathway reductase,,,S001; S004,,106
M4-FUNG-0006:G004,M4-FUNG-0006,G004,aflA / hexA,AAS90024.1,19319.0,24439.0,-,fatty-acid synthase alpha subunit,starter-unit formation,,,S001; S004,,107
M4-FUNG-0006:G005,M4-FUNG-0006,G005,aflB / hexB,AAS90025.1,25153.0,30999.0,+,fatty-acid synthase beta subunit,starter-unit formation,,,S001; S004,,108
